날짜,충전소명,충전기 유형,충전량(kWh)
2025-10-30,송월동차고지,급속,68.4
2025-10-30,송월동차고지,급속,94.97
2025-10-30,송월동차고지,급속,105.45
2025-10-30,누상공영주차장,완속,15.77
2025-10-30,올림픽기념국민생활관,완속,30.83
2025-10-30,올림픽기념국민생활관,완속,78.44
2025-10-30,올림픽기념국민생활관,완속,15.33
2025-10-30,남산청사,완속,6.7
2025-10-30,남산청사,완속,19.11
2025-10-30,서소문청사(후생동),완속,12.73
2025-10-30,서소문청사(지하주차장),급속,84.69
2025-10-30,서소문청사(지하주차장),급속,28.43
2025-10-30,서소문청사(지하주차장),완속,2.31
2025-10-30,서울시 본관청사,급속,21.17
2025-10-30,서울시 본관청사,급속,10.05
2025-10-30,기업은행 무교지점 앞 가로등형 충전소,급속,160.89
2025-10-30,훈련원공원 노상공영주차장(가로등),급속,188.5
2025-10-30,"청계3 노상공영주차장(코리아몰 앞, 가로등)",급속,67.99
2025-10-30,"청계3 노상공영주차장(고려상사 앞, 가로등)",급속,57.01
2025-10-30,청계8가 노상공영주차장(가로등),급속,150.44
2025-10-30,청계8가 노상공영주차장(가로등),급속,162.63
2025-10-30,"을지로 노상공영주차장(신한은행 앞, 가로등)",급속,89.95
2025-10-30,"을지로 노상공영주차장(하나은행 앞, 가로등)",급속,94.96
2025-10-30,서소문청사(지상),급속,42.42
2025-10-30,청계5 노상공영주차장(가로등),급속,167.78
2025-10-30,청계5 노상공영주차장(가로등),급속,226.53
2025-10-30,신창동 공영주차장,급속,11.19
2025-10-30,한남동 공영주차장,급속,51.05
2025-10-30,성동구청,급속,0.61
2025-10-30,성동구 마장동 거주자우선주차장 가로등형 충전기,급속,49.57
2025-10-30,청계8 노상공영주차장(가로등),급속,160.77
2025-10-30,청계8 노상공영주차장(가로등),급속,164.64
2025-10-30,서울숲공원주차장,급속,22.71
2025-10-30,서울숲공원주차장,급속,43.95
2025-10-30,송정동주민센터,급속,29.72
2025-10-30,광진구 자양동 거주자우선주차장 가로등형 충전기,급속,92.74
2025-10-30,어린이대공원 구의문 주차장 복합충전소,급속,0.0
2025-10-30,어린이대공원 구의문 주차장 복합충전소,급속,77.74
2025-10-30,어린이대공원 구의문 주차장 복합충전소,급속,67.1
2025-10-30,자양한양아파트 앞 전기차 충전소(가로등),급속,105.55
2025-10-30,자양우성1차아파트 앞 전기차 충전소(가로등),급속,67.11
2025-10-30,한화꿈에그린아파트 거주자우선주차장(가로등),급속,31.32
2025-10-30,이문동 거주자우선주차장(가로등),급속,85.26
2025-10-30,정릉천변 노상공영주차장(가로등),급속,133.02
2025-10-30,휘경동 노외공영주차장(가로등),급속,27.92
2025-10-30,동대문구청,급속,39.23
2025-10-30,동대문구청,급속,104.97
2025-10-30,동대문구청,급속,91.92
2025-10-30,동대문구청,급속,62.39
2025-10-30,배봉공영주차장,급속,28.6
2025-10-30,청량리동주차장,급속,18.51
2025-10-30,장안동근린공원 지하주차장,급속,35.85
2025-10-30,망우제2 거주자주차장,급속,7.22
2025-10-30,중랑구청,급속,121.28
2025-10-30,봉화산역 공영주차장 전기차 충전소,완속,78.92
2025-10-30,중랑캠핑숲 제1주차장,급속,18.57
2025-10-30,중랑캠핑숲 제1주차장,급속,100.78
2025-10-30,중랑구시설관리공단 관상복합청사 지하주차장,완속,30.83
2025-10-30,망우역사문화공원 제3주차장,급속,40.22
2025-10-30,중랑초교 공영주차장,급속,30.86
2025-10-30,면일초등학교 공영주차장,급속,36.03
2025-10-30,면일초등학교 공영주차장,급속,56.08
2025-10-30,면목5동 공영주차장,급속,76.17
2025-10-30,서울연극창작센터,급속,71.37
2025-10-30,성북구의회,급속,79.57
2025-10-30,석관동공영주차장,급속,60.28
2025-10-30,석관동공영주차장,급속,41.81
2025-10-30,미아동 축산농협 전기차 충전소,완속,60.02
2025-10-30,미아동 축산농협 전기차 충전소,완속,54.27
2025-10-30,미아동 도봉세무서 앞 전기차 충전소,완속,80.3
2025-10-30,으뜸공원 공영주차장 전기차 충전소,완속,55.56
2025-10-30,수유동 가오천 공영주차장 전기차 충전소,완속,44.21
2025-10-30,미아동 공영주차장,급속,78.27
2025-10-30,도봉동 거주자우선주차장(가로등),급속,17.98
2025-10-30,도봉동 실내스포츠센터,급속,239.56
2025-10-30,방학동 도깨비시장 공영주차장,급속,111.01
2025-10-30,창2동 제4공영주차장,급속,186.32
2025-10-30,창3동 제1공영주차장,급속,68.8
2025-10-30,노원세무서 거주자주차장(가로등),급속,1.42
2025-10-30,미화어린이공원 주차장(가로등),급속,94.23
2025-10-30,초안산근린공원 거주자주차장(가로등),급속,61.69
2025-10-30,도봉산역 환승주차장,급속,40.36
2025-10-30,노원이지센터,급속,13.8
2025-10-30,수락산디자인 노상공영주차장(가로등),급속,111.26
2025-10-30,월계동 거주자주차장(가로등),급속,86.35
2025-10-30,공릉동 거주자주차장(가로등),급속,130.94
2025-10-30,노원자원회수시설,급속,28.13
2025-10-30,노원구청,급속,144.47
2025-10-30,노원구청,급속,24.42
2025-10-30,불암산스포츠타운,급속,34.26
2025-10-30,수락산스포츠타운,급속,128.93
2025-10-30,수락산당고개공원,급속,52.39
2025-10-30,수락산디자인거리,급속,89.4
2025-10-30,석계역 공영주차장(석계역 앞),급속,107.48
2025-10-30,석계역 공영주차장(문화공원 옆),급속,162.04
2025-10-30,노원수학문화관,급속,39.27
2025-10-30,불암산공영주차장,급속,31.02
2025-10-30,중계근린공원,급속,204.47
2025-10-30,은평평화공원 지하공영주차장,급속,193.65
2025-10-30,노송길 공동주차장,급속,365.22
2025-10-30,신사1동 공동주차장,급속,25.98
2025-10-30,서대문구청 주차장,급속,97.67
2025-10-30,홍제1동 제1공영주차장,급속,117.75
2025-10-30,홍제동 주영빌딩 앞 전기차 충전소(가로등),급속,33.37
2025-10-30,북가좌동 공영주차장 전기차 충전소,완속,34.38
2025-10-30,연희동 거주자우선주차장(가로등),급속,169.05
2025-10-30,대궐재어린이공원 거주자주차장(가로등),급속,123.54
2025-10-30,연희제2공영주차장,급속,42.65
2025-10-30,독립문문화공원 지하공영주차장,급속,113.28
2025-10-30,독립문문화공원 지하공영주차장,급속,32.88
2025-10-30,독립문문화공원 지하공영주차장,급속,110.05
2025-10-30,화창운수 앞 가로등형 충전소,급속,70.14
2025-10-30,드림디포 앞 가로등형 충전소,급속,113.72
2025-10-30,시립서부노인 전문요양센터,완속,31.68
2025-10-30,청기와2 노상공영주차장(가로등),급속,132.74
2025-10-30,망원3 노상공영주차장(가로등),급속,173.41
2025-10-30,마포농수산물시장,급속,140.87
2025-10-30,마포농수산물시장,급속,135.93
2025-10-30,마포농수산물시장,급속,166.96
2025-10-30,마포유수지 공영주차장,급속,26.67
